,species,length,mass,freq,folk_generic,folk_specific,clements_group,prototype,group_size_folk_generics,group_size_folk_specific,group_size_clements,density,e1,e2
117,Asio stygius,16.55,565.0,10,dǎm̲,dǎm̲-yêt,Owls,0.0,3.0,2.0,6.0,2.0,-6.27182674407959,-7.46630859375
118,Lamprolaima rhami,4.75,7.8,418,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,3.0,10.57409954071045,5.2799906730651855
119,Oporornis tolmiei,5.1,10.4,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,0.0,6.063232421875,3.595602512359619
120,Catharus aurantiirostris,5.5,29.8,1237,mguîn̲-guìib-tsár,mguîn̲-guìib-tsár,Thrushes,0.0,4.0,4.0,5.0,2.0,1.2915880680084229,-0.36327508091926575
121,Oxyura jamaicensis,15.0,608.15,690,bǎd,bǎd-guìx,Waterfowl,0.0,7.0,5.0,10.0,1.0,-5.030627250671387,-8.373405456542969
122,Setophaga townsendi,4.75,8.84,3787,yěets,yěets-pînt,Wood-Warblers,0.0,3.0,1.0,15.0,,,
123,Zenaida asiatica,11.5,153.0,11054,còolíchè,còolíchè,Pigeons and Doves,0.0,1.0,1.0,7.0,1.0,-3.805954933166504,-3.541393518447876
124,Hirundo pyrrhonota,5.1,21.6,0,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0.0,7.0,4.0,4.0,,,
125,Turdus migratorius,10.0,78.5,1542,miân,miân,Thrushes,0.0,1.0,1.0,5.0,1.0,-1.7890177965164185,-3.1951918601989746
126,Ptiliogonys cinereus,7.5,33.6,5476,péedrùuch,péedrùuch,Silky-flycatchers,0.0,1.0,1.0,1.0,,,
127,Amazilia viridifrons,4.25,6.3,513,dzǐn̲g,dzǐn̲g,Hummingbirds,0.0,14.0,10.0,14.0,6.0,10.170673370361328,5.403689861297607
128,Dendrortyx macroura,13.5,430.99,663,mtsòo,mtsòo,"Grouse, Quail, and Allies",0.0,1.0,1.0,4.0,1.0,-5.845245361328125,-6.438126087188721
129,Carduelis psaltria,4.5,8.77,0,mdzíl-dò,mdzíl-dò,"Finches, Euphonias, and Allies",0.0,1.0,1.0,3.0,0.0,5.413978576660156,5.637199878692627
130,Meleagris gallopavo,38.5,5791.37,0,mèr,mèr,"Grouse, Quail, and Allies",0.0,1.0,1.0,4.0,0.0,-8.480628967285156,-8.668546676635742
131,Vireo huttoni,4.875,11.3,2103,mtsùu,mtsùu,Vireos,0.0,8.0,8.0,4.0,2.0,5.351634979248047,3.492882013320923
132,Dendrocygna autumnalis,19.5,755.3,1153,pìxîx,pìxîx,Waterfowl,0.0,1.0,1.0,10.0,1.0,-5.773666858673096,-8.505249977111816
133,Catherpes mexicanus,5.0,11.97,2327,nguzhǐn,nguzhǐn-zhàn̲-quiè,Wrens,0.0,6.0,1.0,6.0,1.0,6.043423175811768,1.6491233110427856
134,Stelgidopteryx serripennis,5.5,15.69,5161,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0.0,7.0,4.0,4.0,2.0,2.7293245792388916,4.846447944641113
135,Eremophila alpestris,7.5,33.33,80,mguîn̲-ló-liù,mguîn̲-ló-liù,Larks,0.0,1.0,1.0,1.0,1.0,0.9707726240158081,0.29768607020378113
136,Buteo brachyurus,16.0,496.01,1314,msì,msì,"Vultures, Hawks, and Allies",0.0,7.0,3.0,8.0,2.0,-6.327709197998047,-7.082905292510986
137,Bombycilla cedrorum,7.0,31.58,533,mguîn̲-bæ̀d,mguîn̲-bæ̀d,Waxwings,0.0,1.0,1.0,1.0,0.0,1.1806710958480835,1.0535142421722412
138,Dendroica nigrescens,5.1,8.7,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,2.0,5.950177192687988,4.314959526062012
139,Tachycineta thalassina,5.125,14.14,2454,xlútsǐ,xlútsǐ-nquǐts,Martins and Swallows,0.0,7.0,4.0,4.0,2.0,2.916022539138794,4.801207542419434
140,Patagioenas fasciata,14.5,366.3,927,pàlôm,pàlôm-dán,Pigeons and Doves,0.0,2.0,1.0,7.0,0.0,-4.914045333862305,-4.876932144165039
141,Myioborus miniatus,6.0,9.0,3440,mguîn̲-mâ-zhiàn,mguîn̲-mâ-zhiàn,Wood-Warblers,0.0,2.0,2.0,15.0,3.0,4.915188312530518,4.341085433959961
142,Glaucidium gnoma,7.25,61.25,413,mquí,mquí,Owls,0.0,3.0,3.0,6.0,0.0,-0.9400038123130798,-1.0398585796356201
143,Anser cygnoides,34.5,3511.94,0,gâns,gâns,Waterfowl,0.0,2.0,2.0,10.0,2.0,-7.88392972946167,-9.310928344726562
144,Bubulcus ibis,20.0,365.95,4374,gàrs,gàrs,"Herons, Ibis, and Allies",0.0,1.0,1.0,1.0,0.0,-5.28109073638916,-7.4820356369018555
145,Mimus polyglottos,10.0,48.5,1678,mquièts,mquièts,"Catbirds, Mockingbirds, and Thrashers",0.0,2.0,2.0,3.0,1.0,-0.8764628767967224,-2.368025064468384
146,Atthis heloisa,2.75,2.2,800,dzǐn̲g,dzǐn̲g-gué,Hummingbirds,0.0,14.0,1.0,14.0,2.0,9.74673080444336,6.836112976074219
147,Ergaticus ruber,5.5,8.1,0,x-quǐit-ngùbìdz,x-quǐit-ngùbìdz,Wood-Warblers,0.0,1.0,1.0,15.0,3.0,5.734794616699219,4.618408203125
148,Vermivora celata,5.05,9.19,0,wǐt,wǐt,Wood-Warblers,0.0,12.0,11.0,15.0,2.0,5.7676215171813965,4.173182487487793
149,Hylocharis leucotis,3.4,3.39,2753,dzǐn̲g,dzǐn̲g-dán-yǎ-guì,Hummingbirds,0.0,14.0,1.0,14.0,3.0,10.413973808288574,6.2369608879089355
150,Vireo gilvus,5.25,12.67,3267,mtsùu,mtsùu,Vireos,0.0,8.0,8.0,4.0,2.0,4.93163537979126,3.0787487030029297
151,Caracara plancus,49.5,1078.62,0,mguîn̲-rlæ̌-dzìt,mguîn̲-rlæ̌-dzìt,Falcons and Caracaras,0.0,1.0,1.0,3.0,2.0,-7.076828479766846,-8.353261947631836
152,Trogon citreolus,,79.0,2030,,,,,,,,,,
153,Atlapetes pileatus,,24.0,1300,,,,,,,,,,
154,Diglossa baritula,,9.2,1041,,,,,,,,,,
155,Leiothlypis ruficapilla,,0.0,5300,,,,,,,,,,
156,Sterna forsteri,,149.0,165,,,,,,,,,,
157,Numenius phaeopus,,364.57,448,,,,,,,,,,
158,Icterus gularis,,55.16,2400,,,,,,,,,,
159,Chaetura vauxi,,17.1,691,,,,,,,,,,
160,Eudocimus albus,,889.66,1254,,,,,,,,,,
161,Turdus rufopalliatus,,75.02,4272,,,,,,,,,,
162,Caracara cheriway,,1078.62,4387,,,,,,,,,,
163,Coereba flaveola,,10.01,386,,,,,,,,,,
164,Setophaga coronata,,0.0,7097,,,,,,,,,,
165,Myiarchus sp.,,0.0,557,,,,,,,,,,
166,Leiothlypis virginiae,,0.0,1695,,,,,,,,,,
167,Empidonax hammondii,,10.44,680,,,,,,,,,,
168,Setophaga petechia,,0.0,2629,,,,,,,,,,
169,Rupornis magnirostris,,0.0,1828,,,,,,,,,,
170,Tityra semifasciata,,79.3,1068,,,,,,,,,,
171,Megarynchus pitangua,,69.91,1561,,,,,,,,,,
172,Geothlypis trichas,,9.54,730,,,,,,,,,,
